"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"37","dengue_sj",1,5,"glarma",984,18.1896341595696,127.762648674999,11,23,5,47,13,2.95501453015881,0.340058388294217,0.392136292164471,2.95501453015881
"38","dengue_sj",1,6,"glarma",984,18.0313966704673,138.412692291445,10,23,4,49,11,2.97220165775148,0.265816146653459,0.317006628904494,2.97220165775148
"39","dengue_sj",1,7,"glarma",984,19.0327878050282,195.753685479028,10,24,4,56,10,3.03559828720499,0.221851303931005,0.269897212953306,3.03559828720499
"40","dengue_sj",1,8,"glarma",984,19.3286374587172,237.702385199553,10,24,4,58,6,3.3794233413188,0.0700943124654858,0.104161406622508,3.3794233413188
"41","dengue_sj",1,1,"glarma",985,14.3339519365321,23.9839393652885,11,17,6,25,21,3.55552998157784,0.890465138681567,0.919031370008939,3.55552998157784
"42","dengue_sj",1,2,"glarma",985,14.0080096463106,34.6018555760341,10,17,5,28,10,2.65851285881487,0.227110198822465,0.297162520835215,2.65851285881487
"43","dengue_sj",1,3,"glarma",985,13.1161088012605,39.7518782222686,9,16,4,28,15,2.91525090985845,0.65582052149092,0.710010953904225,2.91525090985845
"44","dengue_sj",1,4,"glarma",985,13.0480885723957,51.3804030896239,8,16,3,30,13,2.80066816420057,0.550909885944798,0.611679331034238,2.80066816420057
"45","dengue_sj",1,5,"glarma",985,12.6427416502885,54.8005868991881,8,16,3,31,11,2.72581489776888,0.45602909787786,0.521521908898873,2.72581489776888
"46","dengue_sj",1,6,"glarma",985,12.9860849269528,66.9980957466641,7,17,3,34,10,2.73758007560025,0.39223375064051,0.456960542107301,2.73758007560025
"47","dengue_sj",1,7,"glarma",985,13.6529082650993,88.9340273836615,7,17,3,38,6,2.84582612037532,0.143123419113475,0.201209679783165,2.84582612037532
"48","dengue_sj",1,8,"glarma",985,14.6161876878472,148.391634929299,7,18,3,43,11,2.89026300926128,0.432523985326878,0.48808558280178,2.89026300926128
"49","dengue_sj",1,1,"glarma",986,17.4339407391001,31.6690321428347,14,21,8,30,10,3.4151542983562,0.0611977001006277,0.0940690344179693,3.4151542983562
"50","dengue_sj",1,2,"glarma",986,16.1263486540815,45.4490256176699,11,20,6,32,15,2.73891982716194,0.455731904570881,0.520372036281955,2.73891982716194
"51","dengue_sj",1,3,"glarma",986,16.2027219717293,60.1786214736166,11,20,5,35,13,2.77929750819271,0.356588513495102,0.418670617727053,2.77929750819271
"52","dengue_sj",1,4,"glarma",986,15.927533568951,76.5110443829975,10,20,4,38,11,2.80950754574374,0.280369897473371,0.340604545371887,2.80950754574374
"53","dengue_sj",1,5,"glarma",986,16.6661963961711,104.500340545236,10,21,4,43,10,2.89137997205299,0.229317423003374,0.284816994887836,2.89137997205299
"54","dengue_sj",1,6,"glarma",986,17.8580762448914,148.060427265137,10,22,4,51,6,3.41741803664037,0.0597937464887237,0.092590752869359,3.41741803664037
"55","dengue_sj",1,7,"glarma",986,18.5565292351296,183.375033429542,10,23,4,54,11,3.005817289283,0.280519979647522,0.330018263023451,3.005817289283
"56","dengue_sj",1,8,"glarma",986,20.1166618630608,342.59920128786,10,24,4,65,13,3.12167915610959,0.36653779964527,0.410620883503008,3.12167915610959
"57","dengue_sj",1,1,"glarma",987,12.3723036351428,19.5011504338213,9,15,5,22,15,2.70638762582129,0.705489511555083,0.772267108763447,2.70638762582129
"58","dengue_sj",1,2,"glarma",987,12.8108230208041,29.9231665450306,9,16,4,26,13,2.61843837011743,0.531489056277978,0.604405699049499,2.61843837011743
"59","dengue_sj",1,3,"glarma",987,12.2076001296161,34.1475905387251,8,15,4,26,11,2.56223882278308,0.438423372167735,0.515555234590726,2.56223882278308
"60","dengue_sj",1,4,"glarma",987,12.7995885963192,47.3035283508308,8,16,3,29,10,2.61683478648111,0.35298274195211,0.42601640646079,2.61683478648111
"61","dengue_sj",1,5,"glarma",987,13.1872474869799,59.7917912979215,8,17,3,32,6,2.93871536631864,0.101903713640437,0.154837399114925,2.93871536631864
"62","dengue_sj",1,6,"glarma",987,13.397100386441,68.5613977640995,8,17,3,35,11,2.75719744623399,0.431050433236638,0.494519828968922,2.75719744623399
"63","dengue_sj",1,7,"glarma",987,14.5107833393848,101.850879932252,8,18,3,40,13,2.99205765885666,0.517433450104078,0.567617518822633,2.99205765885666
"64","dengue_sj",1,8,"glarma",987,14.7183515384217,119.091595742774,8,18,3,42,11,2.88821303617616,0.415376843517196,0.471052457597044,2.88821303617616
"65","dengue_sj",1,1,"glarma",988,13.6540347418413,22.2858645258177,10,17,6,24,13,2.46220321945471,0.422935158362224,0.508182084589404,2.46220321945471
"66","dengue_sj",1,2,"glarma",988,12.9739588209974,28.8218178322377,9,16,4,25,11,2.52405904876679,0.354855225990945,0.434988905198313,2.52405904876679
"67","dengue_sj",1,3,"glarma",988,13.5211954995269,38.6743285213604,9,17,4,28,10,2.62891833398103,0.277502443065784,0.349658912309011,2.62891833398103
"68","dengue_sj",1,4,"glarma",988,13.8861498550759,52.2540038135434,9,17,4,32,6,3.15160510125697,0.0710928567615406,0.1138762567974,3.15160510125697
"69","dengue_sj",1,5,"glarma",988,14.2469547302065,62.5073062616304,9,18,4,34,11,2.7535699830723,0.365704282124015,0.429404328837263,2.7535699830723
"70","dengue_sj",1,6,"glarma",988,15.4200621429296,83.1721717655709,9,20,4,39,13,2.92355694183282,0.448160157459213,0.501902346546915,2.92355694183282
"71","dengue_sj",1,7,"glarma",988,15.6803090132951,104.478395824156,9,20,3,42,11,2.87686107653152,0.348710721843127,0.405021964234729,2.87686107653152
"72","dengue_sj",1,8,"glarma",988,18.3879389382642,171.849246661468,10,23,4,52,21,3.62098309197247,0.687215048650461,0.713971408246923,3.62098309197247
"73","dengue_sj",1,1,"glarma",989,12.2853810034527,19.1955201903681,9,15,5,22,11,2.38698776569603,0.359969915633676,0.451876025709443,2.38698776569603
"74","dengue_sj",1,2,"glarma",989,13.1441182520339,32.0586429539313,9,16,4,26,10,2.56425825114715,0.277366779542393,0.354343036864191,2.56425825114715
"75","dengue_sj",1,3,"glarma",989,13.4514322126299,40.5181336340343,9,17,4,29,6,3.19341453887932,0.0624493122100829,0.103480839935131,3.19341453887932
"76","dengue_sj",1,4,"glarma",989,13.7331995413498,52.3697604047668,9,17,4,32,11,2.66735275122654,0.369650208769204,0.439086004818563,2.66735275122654
"77","dengue_sj",1,5,"glarma",989,14.7973062394898,72.6863521688041,9,19,4,36,13,2.84695558454641,0.464192415937588,0.522213107293085,2.84695558454641
"78","dengue_sj",1,6,"glarma",989,14.9601214419548,93.6864704330922,9,19,3,39,11,2.81057080838686,0.361975541868923,0.422146178552904,2.81057080838686
"79","dengue_sj",1,7,"glarma",989,17.6164961329567,143.791363034317,10,22,4,48,21,3.6284312540036,0.706218648556278,0.732776462768059,3.6284312540036
"80","dengue_sj",1,8,"glarma",989,18.1067932285348,222.819378078827,9,22,4,52,18,3.41439981170967,0.615101403793564,0.647997548452061,3.41439981170967
"81","dengue_sj",1,1,"glarma",990,12.0079788209928,18.6000223513433,9,15,5,22,10,2.40252407824197,0.290378170275467,0.380867433090565,2.40252407824197
"82","dengue_sj",1,2,"glarma",990,12.7887542432334,30.0985280413665,9,16,4,26,6,3.18264784125664,0.058021990351472,0.0994976789105791,3.18264784125664
"83","dengue_sj",1,3,"glarma",990,13.2044029799059,39.7253255332152,9,16,4,28,11,2.60593398293243,0.377220003794267,0.45105414894674,2.60593398293243
"84","dengue_sj",1,4,"glarma",990,14.043273520995,53.337751747,9,18,4,32,13,2.77370090031479,0.487797861645709,0.550228389156072,2.77370090031479
"85","dengue_sj",1,5,"glarma",990,14.1541468712191,67.5801516169407,9,18,4,35,11,2.72623499094942,0.375322654160348,0.440787957876296,2.72623499094942
"86","dengue_sj",1,6,"glarma",990,16.6216438796218,108.668457628063,10,21,4,44,21,3.63048613669893,0.742270364881565,0.768773661932865,3.63048613669893
"87","dengue_sj",1,7,"glarma",990,17.2919373885633,158.838562088139,9,21,4,49,18,3.36626042839793,0.634499693343353,0.669018173957209,3.36626042839793
"88","dengue_sj",1,8,"glarma",990,19.9007441844151,243.739963792069,10,24,4,59,20,3.50400680161631,0.62438303767839,0.654459668253907,3.50400680161631
"89","dengue_sj",1,1,"glarma",991,11.2244471897944,16.9394452130962,8,14,4,20,6,3.00653308386078,0.0639977200735119,0.113460585524083,3.00653308386078
"90","dengue_sj",1,2,"glarma",991,11.9401202120067,26.5280643446814,8,15,4,24,11,2.47569279223436,0.434856881582926,0.518961584566981,2.47569279223436
"91","dengue_sj",1,3,"glarma",991,12.7663331547266,36.1616684606612,9,16,4,27,13,2.70022204977035,0.549580092378819,0.616770683806597,2.70022204977035
"92","dengue_sj",1,4,"glarma",991,12.7973021140705,45.2380234137756,8,16,4,29,11,2.63578454729597,0.423182460611868,0.4948451851632,2.63578454729597
"93","dengue_sj",1,5,"glarma",991,14.7690590719132,71.4863223863718,9,18,4,35,21,3.71091178688473,0.811209180153833,0.835664395312464,3.71091178688473
"94","dengue_sj",1,6,"glarma",991,14.9805610473098,87.5203842035899,9,19,4,39,18,3.3855216208016,0.711060920427598,0.744920896098369,3.3855216208016
"95","dengue_sj",1,7,"glarma",991,17.3857060859999,143.975861940536,10,21,4,50,20,3.54396104913594,0.698939570693799,0.727838201869851,3.54396104913594
"96","dengue_sj",1,8,"glarma",991,18.9671460570365,224.212217688061,10,23,4,55,17,3.2892872074467,0.549619680788465,0.586900093917203,3.2892872074467
"97","dengue_sj",1,1,"glarma",992,9.24386005855615,13.161665108854,7,12,3,17,11,2.44005358654156,0.660872151354927,0.74802833229346,2.44005358654156
"98","dengue_sj",1,2,"glarma",992,10.0745701378187,19.8071235128432,7,13,3,20,13,2.82824992577165,0.741926445471044,0.80104266643868,2.82824992577165
"99","dengue_sj",1,3,"glarma",992,9.93378205644814,24.8744019875657,6,12,3,22,11,2.6056138495211,0.613103723832746,0.686961509545843,2.6056138495211
"100","dengue_sj",1,4,"glarma",992,11.6084669213667,36.8842065832114,7,15,3,27,21,4.22940482453377,0.918301663665112,0.932862718017343,4.22940482453377
"101","dengue_sj",1,5,"glarma",992,11.651222216841,43.4956687206953,7,15,3,28,18,3.69139842400163,0.840136088805021,0.86507319380639,3.69139842400163
"102","dengue_sj",1,6,"glarma",992,13.3456034850423,70.9553833352532,8,17,3,35,20,3.81696049600366,0.823439066959907,0.845433618886241,3.81696049600366
"103","dengue_sj",1,7,"glarma",992,14.6657372453723,101.957877769084,8,18,3,40,17,3.37722618821192,0.685550527487207,0.719692554555393,3.37722618821192
"104","dengue_sj",1,8,"glarma",992,16.3404614546593,165.68878958145,9,20,3,48,20,3.66412045153452,0.731433689559326,0.757060390859269,3.66412045153452
"105","dengue_sj",1,1,"glarma",993,10.7888863346622,16.1762042228124,8,13,4,20,13,2.58371280009431,0.687794208221639,0.763287400137391,2.58371280009431
"106","dengue_sj",1,2,"glarma",993,10.6734228733067,21.8664414328718,7,13,3,21,11,2.47858133243963,0.536810211128208,0.620672324829364,2.47858133243963
"107","dengue_sj",1,3,"glarma",993,12.5550121298383,34.7710877487436,8,16,4,27,21,4.00364421131998,0.904367513984262,0.922616528285197,4.00364421131998
"108","dengue_sj",1,4,"glarma",993,12.6599277888141,44.386938849581,8,16,3,29,18,3.49062317718646,0.809738033583528,0.840219904228315,3.49062317718646
"109","dengue_sj",1,5,"glarma",993,14.6329784455973,66.9303798052238,9,18,4,36,20,3.61803267789069,0.786313737676921,0.813149156184425,3.61803267789069
"110","dengue_sj",1,6,"glarma",993,16.3767075561223,105.233144654485,10,21,4,42,17,3.22009245225906,0.611162522201742,0.65111388669775,3.22009245225906
"111","dengue_sj",1,7,"glarma",993,17.9634724546498,157.314842226805,10,22,4,49,20,3.51779245962925,0.67283675675797,0.702501606049541,3.51779245962925
"112","dengue_sj",1,8,"glarma",993,20.3420846763006,226.111117806939,11,25,4,58,18,3.33245216616832,0.532104886086198,0.567810328038737,3.33245216616832
"113","dengue_sj",1,1,"glarma",994,11.39872521979,17.2980157589285,9,14,4,21,11,2.3423769840794,0.435453172318966,0.531552113199638,2.3423769840794
"114","dengue_sj",1,2,"glarma",994,13.3301844668404,30.9024410699208,9,16,5,26,21,3.82179536552307,0.897227125405913,0.919115593201662,3.82179536552307
"115","dengue_sj",1,3,"glarma",994,13.6071704411195,42.9191998714771,9,17,4,29,18,3.29854556039581,0.775326023732821,0.812262874503603,3.29854556039581
"116","dengue_sj",1,4,"glarma",994,15.4370933247133,67.2240664426893,10,19,4,36,20,3.47080410336199,0.762932915659207,0.794024935068462,3.47080410336199
"117","dengue_sj",1,5,"glarma",994,17.151494849772,101.517262524875,10,21,5,42,17,3.11871422537057,0.572182379489104,0.616396360591985,3.11871422537057
"118","dengue_sj",1,6,"glarma",994,18.8028020244469,139.862114374265,11,23,5,50,20,3.41815094841023,0.635808765496951,0.668581743372057,3.41815094841023
"119","dengue_sj",1,7,"glarma",994,21.4279620921447,224.45876410236,12,27,5,60,18,3.31519558330253,0.492548782366565,0.528875725305584,3.31519558330253
"120","dengue_sj",1,8,"glarma",994,24.549703501662,370.107775340469,12,31,5,74,17,3.35613723378536,0.399833982819451,0.434703675424643,3.35613723378536
"121","dengue_sj",1,1,"glarma",995,12.8593405333323,20.5978088935125,10,16,5,23,21,4.04872772407962,0.942585576151334,0.960030130965216,4.04872772407962
"122","dengue_sj",1,2,"glarma",995,13.1254212245485,31.3479896761242,9,16,4,26,18,3.27675251369225,0.805639265067296,0.843389917755144,3.27675251369225
"123","dengue_sj",1,3,"glarma",995,14.8358450280442,49.9037312488121,10,18,5,32,20,3.45078613971167,0.790731123832676,0.822451813512394,3.45078613971167
"124","dengue_sj",1,4,"glarma",995,16.455711673036,77.3333796773765,10,20,5,38,17,3.07793376000842,0.591361135715855,0.637415453394601,3.07793376000842
"125","dengue_sj",1,5,"glarma",995,18.4103608629904,118.725417317209,11,23,5,46,20,3.36928452050451,0.641481678884098,0.675895930112262,3.36928452050451
"126","dengue_sj",1,6,"glarma",995,21.1631455169242,211.483427038715,12,26,5,59,18,3.25255670737501,0.492597999436083,0.53127319958545,3.25255670737501
"127","dengue_sj",1,7,"glarma",995,24.0118588234444,338.017138674497,13,29,5,71,17,3.26670029254848,0.399594761076059,0.437726805377931,3.26670029254848
"128","dengue_sj",1,8,"glarma",995,28.601850366692,666.158499334774,14,34,6,93,24,3.68104541067113,0.540951679913445,0.566148300159706,3.68104541067113
"129","dengue_sj",1,1,"glarma",996,17.2835901057957,31.1778851428009,13,21,8,30,18,2.68196816554839,0.537894960294728,0.606323303519742,2.68196816554839
"130","dengue_sj",1,2,"glarma",996,19.0182393560984,56.0917189791044,14,23,7,36,20,2.98573690113346,0.580504013649128,0.631006288299506,2.98573690113346
"131","dengue_sj",1,3,"glarma",996,21.2352783448413,91.2481368404191,14,26,7,44,17,3.00437968366873,0.348816813198265,0.398386306758088,3.00437968366873
"132","dengue_sj",1,4,"glarma",996,23.4402964180472,151.168509563363,15,29,7,53,20,3.21233822429442,0.437646865752853,0.477909226446068,3.21233822429442
"133","dengue_sj",1,5,"glarma",996,27.5403341254911,282.788975621983,17,34,8,68,18,3.32541697845406,0.276157924364976,0.312115446480002,3.32541697845406
"134","dengue_sj",1,6,"glarma",996,30.9802538208068,405.474200429776,18,38,8,83,17,3.47209211394102,0.204837357192862,0.235889355531508,3.47209211394102
"135","dengue_sj",1,7,"glarma",996,35.9740849435954,801.952607714864,20,44,9,103,24,3.62112828522834,0.35492896923558,0.381681444271089,3.62112828522834
"136","dengue_sj",1,8,"glarma",996,40.9128068244713,1693.45445029349,21,48,9,133,52,4.78067172278558,0.780325950140091,0.78871631121753,4.78067172278558
"137","dengue_sj",1,1,"glarma",997,19.0244073938152,35.8284225247442,15,23,9,32,20,2.7636390647503,0.555911570484503,0.618973434572903,2.7636390647503
"138","dengue_sj",1,2,"glarma",997,21.4330078674633,71.793595492488,15,26,8,41,17,2.95178187523706,0.302709044844301,0.354955571008818,2.95178187523706
"139","dengue_sj",1,3,"glarma",997,23.5499596362025,125.18394417874,16,29,8,51,20,3.11224227829521,0.415022868517256,0.459523928142277,3.11224227829521
"140","dengue_sj",1,4,"glarma",997,27.2140105487926,245.366206446652,17,33,9,63,18,3.2842992013251,0.25831211336683,0.295778945968693,3.2842992013251
"141","dengue_sj",1,5,"glarma",997,31.0721518553626,427.925100728285,18,38,9,81,17,3.4708717592085,0.192193270544938,0.223283186468457,3.4708717592085
"142","dengue_sj",1,6,"glarma",997,36.5516757759503,1574.30957480036,20,43,9,102,24,3.5921301339951,0.34816478467156,0.375704389521842,3.5921301339951
"143","dengue_sj",1,7,"glarma",997,43.3695457934453,2377.96684041962,21,49,9,143,52,4.75327223952274,0.769739478472227,0.77836290952512,4.75327223952274
"144","dengue_sj",1,8,"glarma",997,46.7000481938717,3213.57386123738,22,53,9,160,30,3.91782488873369,0.426081075432605,0.445965373734929,3.91782488873369
"145","dengue_sj",1,1,"glarma",998,21.355574997769,42.9026889490993,17,26,10,36,17,2.90410384202887,0.228980099023675,0.283777975181194,2.90410384202887
"146","dengue_sj",1,2,"glarma",998,23.8530709955079,96.6066064741068,17,29,9,47,20,3.02928659429028,0.362962114838933,0.4113122339151,3.02928659429028
"147","dengue_sj",1,3,"glarma",998,28.0570178787757,188.750886353371,19,34,10,61,18,3.33569595560788,0.203792476588238,0.239382285251651,3.33569595560788
"148","dengue_sj",1,4,"glarma",998,31.9827184902,333.778333694153,20,39,10,78,17,3.56199696400052,0.146227210795795,0.17460930086818,3.56199696400052
"149","dengue_sj",1,5,"glarma",998,36.5880180259672,512.612690212982,21,45,11,98,24,3.57852750121426,0.306282364466107,0.334199139888804,3.57852750121426
"150","dengue_sj",1,6,"glarma",998,42.1563969899748,1017.02744844539,23,51,11,120,52,4.68908620050718,0.750376547854921,0.759571632637061,4.68908620050718
"151","dengue_sj",1,7,"glarma",998,44.855716315622,1284.03349999177,23,55,11,141,30,3.86098029944988,0.395337050750295,0.416384407444724,3.86098029944988
"152","dengue_sj",1,8,"glarma",998,53.4008522904902,3329.88573297984,25,63,11,177,43,4.34047733027205,0.554947346163989,0.567977653122785,4.34047733027205
"153","dengue_sj",1,1,"glarma",999,20.2075786386299,39.4383731857784,16,24,9,34,20,2.75447072096543,0.472780321996802,0.536423017497263,2.75447072096543
"154","dengue_sj",1,2,"glarma",999,23.9745437930643,85.3442838038615,17,29,10,45,18,3.08282903334081,0.253653278949136,0.299482699071328,3.08282903334081
"155","dengue_sj",1,3,"glarma",999,27.2786089080176,175.172526436931,18,33,10,59,17,3.3396349449574,0.18025128779887,0.215701184322124,3.3396349449574
"156","dengue_sj",1,4,"glarma",999,31.9552650151791,295.673715764379,20,39,10,76,24,3.44275995230744,0.355865780988001,0.387842091325082,3.44275995230744
"157","dengue_sj",1,5,"glarma",999,36.2505290758955,512.219567956749,21,44,10,97,52,4.78625231151734,0.824106234793818,0.832449903124461,4.78625231151734
"158","dengue_sj",1,6,"glarma",999,39.7697565517757,973.339061762147,22,48,10,116,30,3.7954011691602,0.442298684021314,0.464772572198525,3.7954011691602
"159","dengue_sj",1,7,"glarma",999,47.1927397356168,1792.44654975446,24,56,10,149,43,4.30177488969016,0.602843235870781,0.616387733546906,4.30177488969016
"160","dengue_sj",1,8,"glarma",999,48.8449032755229,1715.81643009452,23,59,10,167,42,4.33331245970966,0.573224716156294,0.586348718835869,4.33331245970966
"161","dengue_sj",1,1,"glarma",1000,22.8551998114827,47.3976587999005,18,27,11,38,18,2.97519598679135,0.217814688281749,0.268852118643429,2.97519598679135
"162","dengue_sj",1,2,"glarma",1000,26.5181586413975,114.159349702643,19,32,11,52,17,3.33543591670008,0.151859325303253,0.187458389905039,3.33543591670008
"163","dengue_sj",1,3,"glarma",1000,31.3536109745227,234.54519734742,21,38,11,70,24,3.35318641680997,0.337752015919415,0.372724754565705,3.35318641680997
"164","dengue_sj",1,4,"glarma",1000,35.4112870373962,423.766042006822,22,43,11,87,52,4.76182050230918,0.844530902184424,0.853080932055819,4.76182050230918
"165","dengue_sj",1,5,"glarma",1000,39.5260664208947,1308.23338442997,22,47,11,109,30,3.70487546518892,0.440323232578461,0.464926513720291,3.70487546518892
"166","dengue_sj",1,6,"glarma",1000,46.885925382862,3415.58166424421,25,55,11,139,43,4.21657283754574,0.607416020307623,0.622165125874839,4.21657283754574
"167","dengue_sj",1,7,"glarma",1000,52.0014309195682,8428.38290511776,24,57,11,169,42,4.27097610384527,0.578859922900548,0.592828065040192,4.27097610384527
"168","dengue_sj",1,8,"glarma",1000,61.5233872500522,19569.809159074,25,63,11,220,42,4.30100818591948,0.535366541032377,0.548921427307922,4.30100818591948
"169","dengue_sj",1,1,"glarma",1001,22.2344918623442,45.4096775266552,18,27,11,37,17,2.99931367226336,0.194227152084933,0.244048402427421,2.99931367226336
"170","dengue_sj",1,2,"glarma",1001,26.5637089451702,108.486829263364,19,32,11,51,24,3.14622675843334,0.434361058056243,0.477375181784042,3.14622675843334
"171","dengue_sj",1,3,"glarma",1001,29.9353852601764,209.919019387242,20,36,11,66,52,5.2053217369284,0.92855382731437,0.934041112009137,5.2053217369284
"172","dengue_sj",1,4,"glarma",1001,31.7273510375041,311.252302281518,20,39,10,77,30,3.61194224977036,0.547965794696021,0.574965151110292,3.61194224977036
"173","dengue_sj",1,5,"glarma",1001,37.441917752933,719.314200874079,22,44,11,108,43,4.2627654482728,0.724627244340835,0.738710546206041,4.2627654482728
"174","dengue_sj",1,6,"glarma",1001,39.3572994524785,1138.02653458486,21,47,10,112,42,4.30164434288819,0.682565511797057,0.696111777779459,4.30164434288819
"175","dengue_sj",1,7,"glarma",1001,44.504921990312,2238.82515919029,22,52,10,139,42,4.31028325537686,0.634245295925358,0.64767504093331,4.31028325537686
